"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3030000","2023303010307500003","2023-07-21","","01","영업/정상","1","정상영업","","","","","02-2297-5180","327.3","","서울특별시 성동구 상왕십리동 811 텐즈힐","서울특별시 성동구 마장로 137, 221동 1층 1230호,1231호,1232(일부)호 (상왕십리동, 텐즈힐)","04700","GS THE FRESH 성동텐즈힐점","2025-04-18 09:36:02","U","2024-12-03 22:00:00.0","구분없음","202113.869605464","451897.581865192",""
"3020000","2022302015007500003","2022-08-08","","01","영업/정상","1","정상영업","","","","","02-2006-2364","321.65","","서울특별시 용산구 이촌동 302-52 LG프라자","서울특별시 용산구 이촌로 200, LG프라자 지하1층 (이촌동)","04427","GS THE FRESH 용산이촌점","2025-04-18 09:45:23","U","2024-12-03 22:00:00.0","구분없음","197221.439324261","446524.508385914",""
"3230000","2014323019807500001","2011-08-10","","01","영업/정상","1","정상영업","","","","","02  34016251","883","","","서울특별시 송파구 동남로 189 (가락동, 쌍용아파트)","138-747","(주)지에스리테일 송파점","2025-04-21 18:37:17","U","2024-12-03 22:03:00.0","구분없음","211259.909777857","443711.702922024",""
"3120000","2024312021907500002","2024-01-31","","01","영업/정상","1","정상영업","","","","","","275.04","","서울특별시 서대문구 대현동 144 신촌럭키아파트 상가동 101호","서울특별시 서대문구 이화여대길 50-12, 상가동 1층 101호 (대현동, 신촌럭키아파트)","03764","GS THE FRESH 신촌이대역점","2025-04-25 13:20:39","U","2024-12-03 22:07:00.0","그 밖의 대규모점포","195332.123380254","450806.05844472",""
"3120000","2021312019207500001","2021-07-16","","01","영업/정상","1","정상영업","","","","","02-373-9993","216.08","","서울특별시 서대문구 남가좌동 390 래미안 루센티아","서울특별시 서대문구 거북골로 100, 지하3층 32,33,34,35호 (남가좌동, 래미안 루센티아)","03689","GS THE FRESH 남가좌디엠씨점","2025-04-25 13:22:29","U","2024-12-03 22:07:00.0","구분없음","192641.14591065","452652.059898055",""
"3230000","2023323029107500001","2023-02-01","","01","영업/정상","1","정상영업","","","","","02-2006-2747","164.83","","서울특별시 송파구 거여동 202-180 송파시그니처롯데캐슬","서울특별시 송파구 거마로 56(거여동, 송파시그니처롯데캐슬)","05767","GS THE FRESH 송파시그니처점","2025-05-08 11:15:05","U","2024-12-04 23:00:00.0","구분없음","213149.522764117","443705.473072412",""
"3070000","2025307029907500001","2025-01-15","","01","영업/정상","5","영업개시전","","","","","02-2006-2364","329","","서울특별시 성북구 보문동2가 79 신한은행보문동지점","서울특별시 성북구 보문로 121, 신한은행보문동지점 1층 일부 (보문동2가)","02871","GS더프레시 보문역사거리점","2025-05-12 10:39:29","U","2024-12-04 23:04:00.0","구분없음","201572.041303407","453729.457829945",""
"3210000","2025321019507500001","2025-04-21","","01","영업/정상","1","정상영업","","","","","02-2006-2364","297.5","","서울특별시 서초구 방배동 790-12","서울특별시 서초구 동광로 35 (방배동)","06560","GS THE FRESH 방배중앙점","2025-05-02 09:53:19","U","2024-12-05 00:04:00.0","구분없음","198748.271354705","443257.313511019",""
"3230000","2002323007807500002","2000-07-13","","01","영업/정상","1","정상영업","","","","","0220067710","17693","","서울특별시 송파구 문정동 150번지 2호","서울특별시 송파구 중대로 80 (문정동)","138-885","롯데쇼핑(주)롯데마트 송파점","2025-05-12 18:16:09","U","2024-12-04 23:04:00.0","대형마트","210343.699256005","443288.284974717",""
"3220000","2014322016207500004","2011-12-02","","03","폐업","3","폐업처리","2021-11-16","","","","02-568-5601","336.2","","","서울특별시 강남구 역삼로8길 15 (역삼동)","135-569","롯데슈퍼 역삼1동점","2025-03-18 10:04:49","U","2024-12-02 22:00:00.0","구분없음","202957.286742981","443437.682541522",""
"3220000","2014322016207500003","2011-11-24","","03","폐업","3","폐업처리","2021-11-16","","","","02-3452-5601","177.7","","","서울특별시 강남구 역삼로 230 (역삼동)","135-928","롯데슈퍼 역삼2동점","2025-03-18 10:07:16","U","2024-12-02 22:00:00.0","구분없음","203641.076839094","443854.896864211",""
"3240000","2011324013907500005","2011-09-27","","01","영업/정상","1","정상영업","","","","","69332502","1127.88","134-716","서울특별시 강동구 암사3동 414번지 18호 강동롯데캐슬퍼스트아파트","서울특별시 강동구 고덕로 133 (암사동)","134-852","(주)지에스리테일 암사캐슬점","2025-06-06 12:10:33","U","2024-12-06 00:09:00.0","구분없음","212334.9584644","450346.790651613",""
"3220000","2014322016207500001","2014-03-25","","01","영업/정상","1","정상영업","","","","2014-03-26","02-3446-5999","3246.51","","","서울특별시 강남구 도산대로85길 30 (청담동)","135-955","신원아침도시마인상가","2014-03-26 13:21:24","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204320.63321904     ","447133.658518474    ","대규모점포"
"3220000","2014322016207500005","2012-01-19","","01","영업/정상","1","정상영업","","","","","02-3466-5601","177.8","","","서울특별시 강남구 언주로122길 25 (논현동, 두산위브아파트)","135-832","롯데슈퍼 논현점","2017-04-26 18:33:19","I","2018-08-31 23:59:59.0","구분없음","203322.585990371    ","445590.72903471     ","준대규모점포"
"3220000","2014322016207500007","2012-07-02","","01","영업/정상","1","정상영업","","","","","02-3445-5601","730.7","","","서울특별시 강남구 선릉로 660 (삼성동)","135-864","롯데쇼핑(주) 롯데슈퍼 삼성점","2024-09-04 13:44:12","U","2024-09-06 02:40:00.0","구분없음","203675.905036013    ","445926.119732235    ","준대규모점포"
"3230000","2024323029107500001","2024-04-19","","01","영업/정상","1","정상영업","","","","","02-2006-2364","168.16","","서울특별시 송파구 방이동 103-15","서울특별시 송파구 올림픽로32길 53, 1층 (방이동)","05546","GS THE FRESH 송파나루역점","2025-04-29 10:36:21","U","2024-12-05 00:01:00.0","구분없음","209841.106799057","445595.125934631",""
"3230000","2014323019807500005","2011-10-25","","01","영업/정상","1","정상영업","","","","","0221353211","617.57","","","서울특별시 송파구 올림픽로 435 (신천동, 파크리오아파트)","138-930","(주)지에스리테일 잠실파크리오점","2025-04-29 10:33:59","U","2024-12-05 00:01:00.0","구분없음","209314.259995755","446483.316079239",""
"3230000","2014323019807500007","2011-10-25","","01","영업/정상","1","정상영업","","","","","024014600","314.01","","","서울특별시 송파구 오금로46길 49 (가락동)","138-812","(주)지에스리테일 송파가락점","2025-04-29 10:23:02","U","2024-12-05 00:01:00.0","구분없음","211693.932828168","443503.427857478",""
"3230000","2011323019807500004","2011-08-29","","01","영업/정상","1","정상영업","","","","","2290-5853","288","138-915","서울특별시 송파구 잠실3동 35번지 2호","서울특별시 송파구 석촌호수로 61 (잠실동)","138-915","롯데쇼핑(주)롯데슈퍼잠실3동점","2025-05-02 19:32:53","U","2024-12-05 00:04:00.0","구분없음","207553.918225133","445383.338011122",""
"3100000","2025310018407500001","2025-05-28","","01","영업/정상","5","영업개시전","","","","","02-2006-2364","262.8","","서울특별시 노원구 공릉동 388-2 1층","서울특별시 노원구 동일로192길 23, 1층 (공릉동)","01841","GS THE FRESH 공릉역점","2025-05-28 20:11:46","I","2024-12-04 21:00:00.0","구분없음","206477.084381626","458222.187373294",""
"3180000","2025318027007500001","2025-05-28","","01","영업/정상","5","영업개시전","","","","","02-2069-2058","3034.02","","서울특별시 영등포구 양평동1가 30","서울특별시 영등포구 선유동1로 9-7 (양평동1가)","07262","양남시장정비사업","2025-05-28 17:52:41","I","2024-12-04 21:00:00.0","그 밖의 대규모점포","190307.528282719","446742.556303998",""
"3220000","2014322016207500010","2014-09-16","","01","영업/정상","1","정상영업","","","","","02-2006-2156","510.88","","서울특별시 강남구 논현동 140 영동프라자","서울특별시 강남구 강남대로128길 20, 영동프라자 (논현동)","06114","GS THE FRESH 강남영동점","2025-05-07 10:30:38","U","2024-12-05 00:09:00.0","구분없음","202023.395227792","445302.915908145",""
"3220000","2014322016207500008","2012-07-02","","01","영업/정상","1","정상영업","","","","","02-3446-5602","294.9","","","서울특별시 강남구 봉은사로103길 5 (삼성동)","135-873","롯데슈퍼 코엑스점","2023-05-09 15:26:03","U","2023-05-26 08:48:36.0","구분없음","205359.898726792    ","445864.805913342    ","준대규모점포"
"3070000","2011307018907500002","2011-09-08","","01","영업/정상","1","정상영업","","","","","02  32913333","331","136-062","서울특별시 성북구 돈암2동 636번지","서울특별시 성북구 북악산로 844 (돈암동, 돈암이수브라운스톤아파트)","136-793","GS더프레시 성북돈암점","2025-05-13 15:57:03","U","2024-12-04 23:05:00.0","구분없음","201501.474496909","455061.698603977",""
"3070000","2011307018907500001","2011-09-02","","01","영업/정상","1","정상영업","","","","","929 8053","1202","","","서울특별시 성북구 성북로4길 52 (돈암동, 한진아파트)","136-753","GS더프레시 동소문점","2025-05-13 15:57:29","U","2024-12-04 23:05:00.0","구분없음","200841.726990037","454721.505180141",""
"3100000","2005310009607500004","2005-08-26","","01","영업/정상","1","정상영업","","","","","02950 2500","48227.17","","서울특별시 노원구 상계동 713호","서울특별시 노원구 동일로 1414 (상계동)","139-708","롯데백화점 노원점","2025-05-21 09:44:46","U","2024-12-04 22:03:00.0","백화점","205320.28476675","461419.881795004",""
"3230000","2012323019807500004","2012-03-30","","01","영업/정상","1","정상영업","","","","","2290-5853","203.3","138-879","서울특별시 송파구 풍납2동 400번지 5호   101호","서울특별시 송파구 강동대로9길 20 (풍납동)","138-879","롯데쇼핑(주)롯데슈퍼풍납점","2025-05-02 19:39:24","U","2024-12-05 00:04:00.0","구분없음","210274.185529862","447307.649759292",""
"3230000","2011323019807500005","2011-09-05","","01","영업/정상","1","정상영업","","","","","3431-5602","172.8","138-828","서울특별시 송파구 방이2동 63번지 11호","서울특별시 송파구 올림픽로32길 20 (방이동)","138-828","롯데쇼핑(주)롯데슈퍼방이점","2025-05-02 19:28:11","U","2024-12-05 00:04:00.0","구분없음","209576.621957045","445779.100983519",""
"3230000","2011323019807500003","2011-08-29","","01","영업/정상","1","정상영업","","","","","2290-5853","300.01","138-908","서울특별시 송파구 잠실2동 19번지 8호","서울특별시 송파구 올림픽로 111 (잠실동)","138-908","롯데쇼핑(주)롯데슈퍼신천점","2025-05-02 17:13:25","U","2024-12-05 00:04:00.0","구분없음","207270.219021574","445550.277249649",""
"3150000","2025315020007500001","2025-05-27","","01","영업/정상","1","정상영업","","","","","02-2006-2364","193.59","","서울특별시 강서구 마곡동 739-4 마곡헤리움1차","서울특별시 강서구 마곡서1로 115-1, 마곡헤리움1차 111~114호 (마곡동)","07599","GS THE FRESH 신방화역점","2025-05-27 13:07:05","I","2024-12-04 21:00:00.0","그 밖의 대규모점포","183901.209920497","451618.937363136",""
"3080000","2011308013907500004","2011-08-23","","01","영업/정상","1","정상영업","","","","","6933-8701","490","142-100","서울특별시 강북구 미아동 1357번지 6호","서울특별시 강북구 삼양로27길 35-21 (미아동)","142-807","㈜지에스리테일 GS수퍼 강북미아점","2025-05-23 12:05:15","U","2024-12-04 22:05:00.0","구분없음","201602.577531291","457290.100695375",""
"3020000","2025302020307500002","2025-05-29","","01","영업/정상","5","영업개시전","","","","","02-380-5042","337.45","","서울특별시 용산구 이태원동 254-5 일각빌딩","서울특별시 용산구 회나무로13길 20-4, 일각빌딩 1층 (이태원동)","04344","이마트에브리데이 이태원점","2025-05-29 17:11:39","I","2024-12-04 21:01:00.0","구분없음","199034.580692003","448669.474748983",""
"3010000","2025301024107500001","2025-06-05","","01","영업/정상","5","영업개시전","","","","","02-2184-7386","5432.37","","서울특별시 중구 충무로1가 21-17","서울특별시 중구 명동8나길 38 (충무로1가)","04535","Chapter M","2025-06-05 15:34:55","I","2024-12-06 00:08:00.0","그 밖의 대규모점포","198403.083197305","451049.012425837",""
"3120000","2018312018307500003","2021-12-16","","01","영업/정상","1","정상영업","","","","","02-308-5601","288.3","","서울특별시 서대문구 남가좌동 381 DMC센트레빌","서울특별시 서대문구 거북골로 120(남가좌동, DMC센트레빌)","03690","롯데슈퍼 남가좌점","2025-05-14 09:12:46","U","2024-12-04 23:06:00.0","복합쇼핑몰","192480.02944094","452634.55767379",""
"3000000","2019300020207500001","2019-09-17","","01","영업/정상","1","정상영업","","","","","02-430-4200","25198.02","","서울특별시 종로구 낙원동 288번지 낙원상가","서울특별시 종로구 삼일대로 428, 낙원상가 506호 (낙원동)","03140","낙원상가","2019-09-25 15:06:02","U","2019-09-27 02:40:00.0","그 밖의 대규모점포","198838.912965902    ","452214.210961577    ","대규모점포"
"3240000","2019324023607500001","2019-06-04","","01","영업/정상","1","정상영업","","","","","02-2006-2422","719.46","","서울특별시 강동구 고덕동 217번지 고덕그라시움아파트(상가1동)","서울특별시 강동구 고덕로 353, 고덕그라시움아파트(상가1동) 지하1층 108-119,128호 (고덕동)","05224","지에스 더프레시(GS THE FRESH) 고덕그라시움점","2025-06-09 14:54:21","U","2024-12-05 23:02:00.0","구분없음","214299.644266879","450637.954760292",""
"3000000","2019300020207500002","2019-09-17","","01","영업/정상","1","정상영업","","","","","02-743-6133","25198.02","","서울특별시 종로구 낙원동 288번지 낙원상가","서울특별시 종로구 삼일대로 428, 낙원상가 (낙원동)","03140","낙원상가","2019-09-25 15:05:06","I","2019-09-27 02:22:37.0","그 밖의 대규모점포","198838.912965902    ","452214.210961577    ","대규모점포"
"3040000","2025304019007500001","2025-06-12","","01","영업/정상","1","정상영업","","","","","02-2006-2364","297.32","","서울특별시 광진구 구의동 257-126","서울특별시 광진구 자양로18길 33, 1층 (구의동)","05043","GS THE FRESH 구의역점","2025-06-12 16:17:54","I","2024-12-05 23:05:00.0","대형마트","207475.742181881","448425.52828576",""
"3220000","2014322016207500009","2012-07-02","","03","폐업","3","폐업처리","2021-11-16","","","","02-547-5601","503.8","","","서울특별시 강남구 언주로 123 (도곡동, 개포한신아파트)","135-855","롯데슈퍼 도곡점","2025-03-18 10:03:38","U","2024-12-02 22:00:00.0","구분없음","204254.782968629","442744.847670936",""
"3000000","2012300012907500001","1955-07-05","","01","영업/정상","1","정상영업","","","","","2267-0291","16128.75","110-440","서울특별시 종로구 예지동 6번지 1호","서울특별시 종로구 창경궁로 88 (예지동)","110-834","광장시장","2020-10-04 14:50:40","U","2020-10-06 02:40:00.0","복합쇼핑몰","199837.41426735     ","451974.128468485    ","대규모점포"
"3220000","2001322008307500016","1981-04-14","","03","폐업","3","폐업처리","2013-02-20","","","","02 5673424","0","","서울특별시 강남구 역삼동 796번지 22  호","서울특별시 강남구 역삼로52길 14 (역삼동)","135-926","역삼시장","2013-12-30 09:39:50","I","2018-08-31 23:59:59.0","시장","204170.278135097    ","444036.656041328    ","대규모점포"
"3000000","2011300012907500001","2011-08-16","","01","영업/정상","1","정상영업","","","","","02-743-8546","273.3","110-876","서울특별시 종로구 숭인동 76번지 롯데캐슬천지인 1층","서울특별시 종로구 종로 347 (숭인동)","110-876","홈플러스(주)익스프레스 숭인점","2024-04-01 18:07:37","U","2024-04-03 02:40:00.0","구분없음","201359.53353905     ","452395.659064842    ","준대규모점포"
"3000000","2004300007607500018","2004-12-10","","01","영업/정상","1","정상영업","","","","","0222798751","11750","","서울특별시 종로구 종로6가 270번지 3호 동대문종합시장D동상가","서울특별시 종로구 종로 266, 동대문종합시장D동상가  동 (종로6가)","03198","동대문종합시장D동상가","2019-06-17 13:15:55","U","2019-06-19 02:40:00.0","그 밖의 대규모점포","200579.409754868    ","452035.347658612    ","준대규모점포"
"3000000","2004300012907500001","1992-07-04","","01","영업/정상","1","정상영업","","","","","02  519 2800","6906.53","110-752","서울특별시 종로구 서린동 33번지 영풍빌딩","서울특별시 종로구 청계천로 41 (서린동)","110-752","(주)영풍문고","2022-04-25 14:14:33","U","2022-04-27 02:40:00.0","전문점","198351.818737482    ","451921.60302604     ","대규모점포"
"3000000","2005300007607500001","2005-01-27","","01","영업/정상","1","정상영업","","","","","0222785356","","","   호   ","","","종로세운상가","2007-07-21 10:27:56","I","2018-08-31 23:59:59.0","대형마트","","",""
"3000000","2007300010107500001","2007-07-04","","01","영업/정상","1","정상영업","","","","","02 7435390","9370.53","","서울특별시 종로구 인의동 48번지 2호","서울특별시 종로구 종로 183 (인의동, 효성주얼리시티)","03130","효성주얼리시티","2021-05-02 13:31:32","U","2021-05-04 02:40:00.0","그 밖의 대규모점포","199812.609633255    ","452132.648343993    ","대규모점포"
"3000000","2007300012907500001","2007-09-07","","01","영업/정상","1","정상영업","","","","","763-0181","3393.77","","서울특별시 종로구 창신동 23번지 76호 브라운스톤 창신","서울특별시 종로구 지봉로 81 (창신동, 브라운스톤 창신)","03095","브라운스톤 창신상가","2019-01-31 14:46:28","U","2019-02-02 02:40:00.0","그 밖의 대규모점포","201258.062657124    ","452787.132831042    ","준대규모점포"
"3000000","1991300007607500001","1991-07-31","","01","영업/정상","1","정상영업","","","","","0222620209","55081.94","110-784","서울특별시 종로구 종로6가 289번지 3 호","서울특별시 종로구 종로 266 (종로6가)","110-784","동대문종합시장","2021-07-08 09:20:23","U","2021-07-10 02:40:00.0","그 밖의 대규모점포","200717.7490316      ","452011.865092338    ","대규모점포"
"3000000","2003300007607500003","2003-10-20","","01","영업/정상","1","정상영업","","","","","0222770114","4612.66","110-126","서울특별시 종로구 종로6가 289번지 57호","서울특별시 종로구 종로 272 (종로6가)","110-126","동대문종합시장 신관","2017-06-09 14:48:40","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","200647.01325068     ","452054.764927519    ","대규모점포"
"3000000","2004300007607500002","2004-04-30","","01","영업/정상","1","정상영업","","","","","02 3973445","4674.66","110-714","서울특별시 종로구 종로1가 1번지","서울특별시 종로구 종로 1 (종로1가)","110-714","종로1번지아케이트","2025-04-21 17:34:19","U","2024-12-03 22:03:00.0","전문점","197993.904628438","452032.958591394",""
"3000000","2014300016907500001","1987-10-30","","01","영업/정상","1","정상영업","","","","","027644766","3660","","","서울특별시 종로구 종로44길 14 (창신동)","110-842","동문시장","2021-02-03 07:59:28","U","2021-02-05 02:40:00.0","시장","200936.42910264     ","452017.94363587     ","대규모점포"
"3000000","2010300012907500001","2010-02-18","","01","영업/정상","1","정상영업","","","","","3413-0276","8390.2","110-410","서울특별시 종로구 인의동 112번지 2호","서울특별시 종로구 창경궁로 109 (인의동)","110-410","세운스퀘어","2024-10-14 10:32:03","U","2024-10-17 02:40:00.0","그 밖의 대규모점포","199670.979884558    ","452221.775006084    ","대규모점포"
"3000000","2011300012907500003","2011-12-20","","01","영업/정상","1","정상영업","","","","","027379994","432.9","110-061","서울특별시 종로구 신문로1가 24번지  고려빌딩 1층","서울특별시  새문안로 91, 1층 (고려빌딩)","110-796","홈플러스(주)익스프레스 광화문점","2024-04-01 18:06:58","U","2024-04-03 02:40:00.0","복합쇼핑몰","197700.034013631    ","452022.503467072    ","준대규모점포"
"3000000","2003300012907500001","2003-03-04","","01","영업/정상","1","정상영업","","","","","2267-0291","16128.75","110-833","서울특별시 종로구 예지동 6번지 1호","","","광장주식회사","2007-08-01 17:39:46","I","2018-08-31 23:59:59.0","시장","199837.41426735     ","451974.128468485    ",""
"3000000","2004300007607500003","2004-04-30","","01","영업/정상","1","정상영업","","","","","02 3995591","","","서울특별시 종로구 서린동 33호   ","","","영풍문고","2007-07-21 10:27:56","I","2018-08-31 23:59:59.0","대형마트","198351.818737482    ","451921.60302604     ",""
"3000000","2004300007607500017","2004-06-30","","01","영업/정상","1","정상영업","","","","","0236760177","","","서울특별시 종로구 창신동 436번지 79  호   ","","","동대문신발도매상가","2007-07-21 10:27:56","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3000000","2020300020207500001","1971-03-25","","01","영업/정상","1","정상영업","","","","1971-03-25","","1313","","서울특별시 종로구 숭인동 206-9 신설종합시장 숭인동","서울특별시 종로구 난계로27길 51, 신설종합시장 숭인동 (숭인동)","03117","신설종합시장","2020-07-22 14:14:39","I","2020-07-24 00:23:15.0","시장","201727.670840565    ","452264.420237876    ","대규모점포"
"3000000","2021300020207500001","1987-10-30","","01","영업/정상","1","정상영업","","","","","2234-7151","1313","","서울특별시 종로구 숭인동 206-9 신설종합시장","서울특별시 종로구 난계로27길 51, 신설종합시장 (숭인동)","03117","신설종합시장(주)","2021-02-03 08:15:07","U","2021-02-05 02:40:00.0","그 밖의 대규모점포","201727.670840565    ","452264.420237876    ","대규모점포"
"3000000","2022300020207500001","2022-06-28","","01","영업/정상","1","정상영업","","","","","02-2006-2678","297","","서울특별시 종로구 무악동 82 무악현대아파트","서울특별시 종로구 통일로 246-10, 무악현대아파트 지하 1층 (무악동)","03025","GS THE FRESH 무악현대점","2025-04-25 11:24:51","U","2024-12-03 22:07:00.0","구분없음","196467.975088253","452566.134030104",""
"3000000","2005300007607500002","2005-02-18","","02","휴업","2","휴업처리","","","","","22785356","6638","","서울특별시 종로구 종로3가 175번지 4호   ","","","종로세운상가","2007-07-21 10:27:56","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3000000","1971300007607500003","1971-09-06","","02","휴업","2","휴업처리","","","","","02 22785356","6194","","서울특별시 종로구 종로3가 175번지 4호   ","","","종로세운상가","2007-07-21 10:27:56","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3000000","1987000007607500005","1987-12-07","","02","휴업","2","휴업처리","","","","","031 3395465","","","서울특별시 종로구 창신동 766호   ","","","숭인제일아케이트","2007-07-21 10:27:56","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3000000","1987300007607500002","1987-10-30","","02","휴업","2","휴업처리","","","","","0222670291","","","   호   ","","","광장시장주식회사","2007-07-21 10:27:56","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3000000","2008300012907500001","2008-03-05","","03","폐업","3","폐업처리","2014-11-26","","","","02-2171-3182","18776.28","110-841","서울특별시 종로구 창신동 328번지 18호","","","크레타 망고 아울렛","2014-11-27 09:20:40","I","2018-08-31 23:59:59.0","전문점","201273.887781838    ","452163.292543039    ",""
"3000000","2011300012907500002","2011-10-07","","03","폐업","3","폐업처리","2014-09-01","","","","7208016","7486","110-150","서울특별시 종로구 중학동 62번지 외 66필지","","","중학아케이드","2014-09-15 15:23:18","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","","대규모점포"
"3240000","2005324011907500006","2005-07-20","","02","휴업","2","휴업처리","","","","","02  485 9001","3223.68","","서울특별시 강동구 천호동 563호   ","","","동아코아","2007-06-30 10:04:31","I","2018-08-31 23:59:59.0","쇼핑센터","211055.486155787    ","448786.697371515    ",""
"3010000","2014301013007500010","1976-11-29","","01","영업/정상","1","정상영업","","","","","02-2268-6691","18500","","","서울특별시 중구 동호로37길 20 (방산동)","100-812","방산종합시장","2025-04-16 14:58:38","U","2024-12-03 23:08:00.0","그 밖의 대규모점포","200002.952736046","451823.532462914",""
"3010000","1964301010007500001","1964-10-13","","01","영업/정상","1","정상영업","","","","","02-753-2805","53845.06","100-060","서울특별시 중구 남창동 49번지","서울특별시 중구 남대문시장4길 21 (남창동)","100-060","서울남대문시장","2024-11-19 09:51:10","U","2024-11-21 02:40:00.0","그 밖의 대규모점포","197982.996630014    ","450791.073856769    ","대규모점포"
"3010000","1968301010007500001","1996-07-04","","01","영업/정상","1","정상영업","","","","","02-2232-3608","6140","","","서울특별시 중구 마장로 30 (신당동)","100-886","팀204","2019-05-14 08:46:48","U","2019-05-16 02:40:00.0","그 밖의 대규모점포","201121.306096947    ","451706.52701165     ","대규모점포"
"3010000","1970301013007500001","1970-01-29","","01","영업/정상","1","정상영업","","","","","02-2269-1967","15144","","","서울특별시 중구 청계천로 260-9 (을지로6가, 통일의류종합상가)","04563","통일상가","2024-04-03 17:07:49","U","2024-04-05 02:40:00.0","그 밖의 대규모점포","200530.360089273    ","451852.149537542    ","대규모점포"
