NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
83,경기도의료원 수원병원,종합병원,031-888-0114,16316,"경기도 수원시 장안구 수성로245번길 69, (정자동)",https://www.medical.or.kr/suwon/index.do
84,의료법인칠석의료재단사랑의병원,종합병원,031-439-3000,15291,"경기도 안산시 상록구 예술광장로 69, 사랑의병원(593-4번지/593-5번지) (성포동)",
85,인제대학교일산백병원,종합병원,031-910-7114,10380,"경기도 고양시 일산서구 주화로 170, (대화동)",http://www.paik.ac.kr/ilsan/
86,의료법인우리의료재단김포우리병원,종합병원,031-999-1000,10099,"경기도 김포시 감암로 11, 김포우리병원 (걸포동)",http://www.gwhospital.co.kr/
87,가톨릭관동대학교 국제성모병원,종합병원,032-1600-8291,22711,"인천광역시 서구 심곡로100번길 25-0, 인천국제성모병원",www.ish.or.kr
88,대아의료재단한도병원,종합병원,031-8040-1114,15367,"경기도 안산시 단원구 선부광장로 103, (선부동)",http://www.handoh.com
89,의료법인 녹산의료재단동수원병원,종합병원,031-210-0114,16494,"경기도 수원시 팔달구 중부대로 165, (우만동)",http://www.dswhosp.co.kr
90,의료법인루가의료재단 나은병원,종합병원,032-584-0114,22819,"인천광역시 서구 원적로 23, 23",
91,인천힘찬종합병원,종합병원,032-1899-2220,21655,"인천광역시 남동구 논현로 72-0, 인천힘찬종합병원",
92,(의)성세의료재단 뉴성민병원,종합병원,032-726-1000,22789,"인천광역시 서구 신석로 70, (석남동)",http://www.smgh.co.kr
93,의료법인 인천사랑병원,종합병원,032-457-2000,22135,"인천광역시 미추홀구 미추홀대로 726-0, 인천사랑병원",http://www.saranghospital.com
94,의료법인 토마스의료재단 윌스기념병원,종합병원,031-223-2233,16480,"경기도 수원시 팔달구 경수대로 437, (인계동)",
95,검단탑병원,종합병원,032-590-0114,22675,"인천광역시 서구 청마로19번길 5, (당하동)",http://www.tophospital.co.kr/
96,인천광역시의료원,종합병원,032-580-6000,22532,"인천광역시 동구 방축로 217, 217",https://www.icmc.or.kr
97,강남병원,종합병원,031-300-0114,17064,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",http://www.knmc.or.kr
98,인천적십자병원,종합병원,032-899-4000,21935,"인천광역시 연수구 원인재로 263, (연수동)",http://www.rch.or.kr/incheon/
99,의료법인 명인의료재단 화홍병원,종합병원,031-278-0119,16630,"경기도 수원시 권선구 호매실로90번길 98, (호매실동)",
100,의료법인 플러스의료재단 단원병원,종합병원,031-8040-6600,15457,"경기도 안산시 단원구 원포공원1로 20, 동의성단원병원 (초지동)",
101,경기도의료원파주병원,종합병원,031-940-9100,10922,"경기도 파주시 중앙로 207, 경기도립의료원파주병원 (금촌동)",http://www.medical.or.kr/_pj_gpmc
102,의료법인 남촌의료재단 시화병원,종합병원,1811-7000,15034,"경기도 시흥시 군자천로 381, 시화병원 (정왕동)",
103,온누리병원,종합병원,032-567-6200,22616,"인천광역시 서구 완정로 199, 199",http://www.onnurihosp.com
104,연세대학교 의과대학 용인세브란스병원,종합병원,1899-1004,16995,"경기도 용인시 기흥구 동백죽전대로 363, (중동)",https://yi.severance.healthcare/yi/index.do
105,의료법인 성수의료재단 인천백병원,종합병원,032-765-7070,22534,"인천광역시 동구 샛골로 214- , (송림동)",http//www.baek-hospital.com/
106,의료법인인봉의료재단뉴고려병원,종합병원,031-998-8129,10086,"경기도 김포시 김포한강3로 283, 뉴고려병원 (장기동)",http://www.nkhospital.net
107,메디인병원,종합병원,031-943-1191,10913,"경기도 파주시 금릉역로 190, (금촌동)",
108,(의)나사렛의료재단 나사렛국제병원,종합병원,032-899-9999,21972,"인천광역시 연수구 먼우금로 98,  (동춘동)",http://www.nasaret.co.kr/
109,의료법인 석경의료재단 센트럴병원,종합병원,031-8041-3000,15079,"경기도 시흥시 공단1대로 237, (정왕동, 센트럴 병원)",
110,현대유비스병원,종합병원,032-888-7575,22173,"인천광역시 미추홀구 독배로 503-0, 현대유비스병원",
111,인천기독병원,종합병원,032-270-8000,22320,"인천광역시 중구 답동로30번길 10, (율목동)",http://www.goich.co.kr/
112,의료법인 일심의료재단 포천우리병원,종합병원,031-542-0222,11174,"경기도 포천시 소흘읍 호국로 661, 661",http://www.swoori.co.kr/
113,한림대학교동탄성심병원,종합병원,031-8086-3000,18450,"경기도 화성시 큰재봉길 7, (석우동)",http://dongtan.hallym.or.kr/
114,의료법인 원광의료재단 원광종합병원,종합병원,031-8077-7200,18356,"경기도 화성시 화산북로 21, (송산동)",
115,명주병원,종합병원,1522-8119,17050,"경기도 용인시 처인구 금령로39번길 8-6, (김량장동)",
116,(의)영문의료재단 다보스병원,종합병원,031-8021-2114,17063,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",http://www.davoshospital.co.kr
117,화성유일병원,종합병원,031-355-0119,18256,"경기도 화성시 남양읍 남양로920번길 6, (남양읍)",https://www.hsyuil.kr/
118,조은오산병원,종합병원,1544-5355,18136,"경기도 오산시 오산로 307, (오산동)",
119,경기도의료원포천병원,종합병원,031-539-9114,11142,"경기도 포천시 포천로 1648, (신읍동)",http://www.pomc.or.kr
120,오산한국병원,종합병원,031-379-8300,18144,"경기도 오산시 밀머리로1번길 16, (원동)",http://www.oshankook.net/
121,의료법인 은혜와감사의료재단 화성중앙종합병원,종합병원,031-352-8114,18592,"경기도 화성시 향남읍 발안로 5, (향남읍)",http://www.hjhospital.co.kr
122,경기도의료원 이천병원,종합병원,031-630-4200,17366,"경기도 이천시 경충대로 2742, (관고동)",
123,비에스종합병원,종합병원,032-290-0001,23037,"인천광역시 강화군 강화읍 충렬사로 31-0,  ",
124,의료법인 갈렌의료재단 박병원,종합병원,031-666-2600,17784,"경기도 평택시 송탄로 33, (장당동)",
125,의료법인 양진의료재단 평택성모병원,종합병원,1800-8800,17825,"경기도 평택시 평택로 284, (세교동)",
126,세종여주병원,종합병원,031-880-7700,12618,"경기도 여주시 청심로 39, 세종여주병원 (하동)",https://세종여주병원.com
127,의료법인 박애의료재단 박애병원,종합병원,031-652-2121,17909,"경기도 평택시 평택2로20번길 3, (평택동)",http://www.bagaehospital.com
128,의료법인백송의료재단 굿모닝병원,종합병원,031-5182-7700,17874,"경기도 평택시 중앙로 338, (합정동)",http://www.goodmhospital.co.kr
129,경기도의료원 안성병원,종합병원,031-8046-5000,17568,"경기도 안성시 남파로 95, 경기도의료원 안성병원 (당왕동)",http://www.medical.or.kr/_as_gpmc
130,안성성모병원,종합병원,031-675-6007,17592,"경기도 안성시 시장길 58, (서인동)",
131,강원대학교병원,종합병원,033-258-2000,24289,"강원도 춘천시 백령로 156, (효자동)",http://www.knuh.or.kr/main/main.asp
132,한림대학교춘천성심병원,종합병원,033-240-5000,24253,"강원특별자치도 춘천시 삭주로 77, 77",http://chuncheon.hallym.or.kr/
133,당진종합병원,종합병원,041-357-0100,31764,"충청남도 당진시 반촌로 5-15,  (시곡동)",
134,홍천아산병원,종합병원,033-430-5151,25131,"강원특별자치도 홍천군 홍천읍 산림공원1길 17, 17",http://www.hch.or.kr
135,순천향대학교부속 천안병원,종합병원,041-570-2114,31151,"충청남도 천안시 동남구 순천향6길 31,  5동 (봉명동,순천향대학교병원)",http://www.schmc.ac.kr/cheonan/kor/index.do
136,의료법인 영서의료재단 천안충무병원,종합병원,041-570-7555,31181,"충청남도 천안시 서북구 다가말3길 8,  (쌍용동)",http://cmhos.co.kr
137,아산충무병원,종합병원,041-536-6666,31528,"충청남도 아산시 문화로 381,  (모종동)",
138,의료법인 건명의료재단 중앙제일병원,종합병원,043-533-1711,27832,"충청북도 진천군 진천읍 중앙북로 36-0, 진천성모병원",
139,충청남도 천안의료원,종합병원,041-570-7200,31071,"충청남도 천안시 동남구 충절로 537,  (삼룡동)",http://camc.or.kr
140,강원특별자치도원주의료원,종합병원,033-760-4500,26448,"강원특별자치도 원주시 서원대로 387,  (개운동)",http://www.kwmc.or.kr
141,서산중앙병원,종합병원,041-661-1000,32010,"충청남도 서산시 수석산업로 5, (수석동)",http://www.isjh.co.kr
142,의료법인 예당의료재단 예산종합병원,종합병원,041-330-4000,32432,"충청남도 예산군 예산읍 금오대로 94, (예산읍)",
143,충청남도 서산의료원,종합병원,041-689-7000,32001,"충청남도 서산시 중앙로 149,  (석림동)",http://www.seosanmc.or.kr
144,건국대학교 충주병원,종합병원,043-840-8200,27376,"충청북도 충주시 국원대로 82-0, 건국대학교충주병원",http://www.kuh.co.kr
145,재단법인베스티안재단베스티안병원,종합병원,043-910-7575,28161,"충청북도 청주시 흥덕구 오송읍 오송생명1로 191-0, (오송읍)",
146,청주성모병원,종합병원,043-219-8000,28323,"충청북도 청주시 청원구 주성로 173-19, 청주성모병원",http://www.ccmc.or.kr
147,충청북도 충주의료원,종합병원,043-871-0114,27486,"충청북도 충주시 안림로 239-50, 충청북도충주의료원",http://www.cjmct.or.kr
148,충청북도 청주의료원,종합병원,043-279-2300,28547,"충청북도 청주시 서원구 흥덕로 48-0, 청주의료원",http://www.cjmc.or.kr
149,충청남도 홍성의료원,종합병원,041-630-6114,32232,"충청남도 홍성군 홍성읍 조양로 224, (홍성읍)",http://www.hsmc.or.kr/
150,의료법인한마음의료재단하나병원,종합병원,043-230-6114,28378,"충청북도 청주시 흥덕구 2순환로 1262-0, 하나병원",http://www.cjhana.co.kr
151,의료법인 정산의료재단 효성병원,종합병원,043-221-5000,28736,"충청북도 청주시 상당구 쇠내로 16-0, 효성병원",http://5388hyosunghospital.com
152,의료법인 인화재단 한국병원,종합병원,043-222-7000,28713,"충청북도 청주시 상당구 단재로 106-0, 한국병원",http://www.hanhsp.co.kr
153,의료법인 자산의료재단 제천서울병원,종합병원,043-640-7600,27170,"충청북도 제천시 숭문로 57-0, 서울병원",http://www.seoulhp.co.kr/
154,세종충남대학교병원,종합병원,1800-3114,30099,"세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)",
155,의료법인 명지의료재단 명지병원,종합병원,043-640-8114,27140,"충청북도 제천시 내토로 991-0, 의료법인명지의료재단명지병원",www.jcmj.co.kr
156,의료법인 영제 의료재단 엔케이세종병원,종합병원,044-850-7700,30130,"세종특별자치시 한누리대로 161, 세종시 NK리움힐 상가 1~8층 (나성동)",
157,충청남도 공주의료원,종합병원,041-962-1111,32535,"충청남도 공주시 무령로 77,  (웅진동)",http://www.gjmc.or.kr
158,대전보훈병원,종합병원,042-939-0111,34314,"대전광역시 대덕구 대청로82번길 147, 147",http://daejeon.bohun.or.kr
159,의료법인영훈의료재단 유성선병원,종합병원,042-609-1000,34084,"대전광역시 유성구 북유성대로 93, (지족동)",http://yuseongsunhospital.com/main/
160,재단법인 아산사회복지재단 부속 보령아산병원,종합병원,041-930-5114,33428,"충청남도 보령시 죽성로 136,  (죽정동)",http://www.brh.or.kr
161,강원특별자치도영월의료원,종합병원,033-370-9149,26234,"강원특별자치도 영월군 영월읍 중앙1로 59, (영월읍)",http://www.youngwol.org/
162,근로복지공단 대전병원,종합병원,042-670-5419,34384,"대전광역시 대덕구 계족로 637,  (법동)",
163,학교법인 을지학원 대전을지대학교병원,종합병원,042-611-3000,35233,"대전광역시 서구 둔산서로 95, (둔산동)",http://www.emc.ac.kr/default.asp
164,대전한국병원,종합병원,042-606-1000,34572,"대전광역시 동구 동서대로 1672,  (성남동)",https://www.djh.kr
165,의료법인 영훈의료재단 대전선병원,종합병원,042-220-8114,34811,"대전광역시 중구 목중로 29, (목동)",http://www.sunhospital.com/main/
166,학교법인 가톨릭학원 가톨릭대학교 대전성모병원,종합병원,042-220-9114,34943,"대전광역시 중구 대흥로 64, (대흥동)",http://www.cmcdj.or.kr/
167,대청병원,종합병원,042-1899-6075,35403,"대전광역시 서구 계백로 1322, (정림동)",https://www.dchp.or.kr
168,의료법인 힐링의료재단 옥천성모병원,종합병원,043-730-7000,29031,"충청북도 옥천군 옥천읍 성왕로 1195-0,  ",
169,의료법인동춘의료재단문경제일병원,종합병원,054-550-7700,36986,"경상북도 문경시 당교3길 25,  (모전동)",http://www.mgjh.co.kr
170,의료법인 백제병원,종합병원,041-733-2191,32980,"충청남도 논산시 시민로294번길 14,  (취암동)",http://www.bjhosp.co.kr/index.asp
171,속초보광병원,종합병원,033-639-8500,24853,"강원특별자치도 속초시 중앙로 11-0, 속초보광병원",
172,강원특별자치도속초의료원,종합병원,033-630-6000,24821,"강원특별자치도 속초시 영랑호반길 3, (영랑동)",http://www.sokchomc.co.kr
173,의료법인삼백의료재단상주성모병원,종합병원,054-532-5001,37179,"경상북도 상주시 냉림서성길 7,  (냉림동)",http://www.ssmh.co.kr
174,상주적십자병원,종합병원,054-534-3501,37199,"경상북도 상주시 상서문로 53,  (남성동)",http://sjrch.bz.co.kr
175,영주적십자병원,종합병원,054-630-0100,36058,"경상북도 영주시 대학로 327-0, 영주적십자병원",
176,강원특별자치도강릉의료원,종합병원,033-610-1200,25535,"강원특별자치도 강릉시 경강로 2007, 강원특별자치도강릉의료원 (남문동)",http://www.gnmc.or.kr
177,의산의료재단 강릉고려병원,종합병원,033-649-0100,25552,"강원특별자치도 강릉시 옥가로 30, (옥천동)",http://www.kindhp.com
178,의료법인 강릉동인병원,종합병원,033-650-6161,25478,"강원특별자치도 강릉시 강릉대로419번길 42-0,  (포남동)",http://www.dong-in.or.kr
179,의료법인 오성의료재단 동군산병원,종합병원,063-440-0300,54033,"전북특별자치도 군산시 조촌로 149,  (조촌동)",http://www.donggunsanhosp.co.kr
180,익산병원,종합병원,063-840-9114,54543,"전북특별자치도 익산시 무왕로 969, (신동)",http://www.iksanhp.com/
181,전북특별자치도 군산의료원,종합병원,063-472-5000,54105,"전북특별자치도 군산시 의료원로 27, (지곡동, 군산의료원)",www.gunmed.or.kr/
182,근로복지공단 태백병원,종합병원,033-580-3114,26052,"강원특별자치도 태백시 보드미길 8,  (장성동)",http://www.kcomwel.or.kr/hospital/taebaek/index.jsp
183,의료법인덕산의료재단김천제일병원,종합병원,054-420-9300,39544,"경상북도 김천시 신음1길 12,  (신음동)",http://www.jeilh.com
184,근로복지공단 동해병원,종합병원,033-530-3100,25738,"강원특별자치도 동해시 하평로 11, (평릉동)",https://www.comwel.or.kr
185,의료법인 동해동인병원,종합병원,033-530-0114,25751,"강원특별자치도 동해시 하평로 26, (평릉동)",
186,경상북도김천의료원,종합병원,054-432-8901,39579,"경상북도 김천시 모암길 24,  (모암동)",http://www.gcmc.or.kr
187,의료법인안동병원,종합병원,054-840-1004,36743,"경상북도 안동시 앙실로 11,  (수상동)",http://www.andonghospital.co.kr
188,안동성소병원,종합병원,054-850-8114,36690,"경상북도 안동시 서동문로 99,  (금곡동)",http://www.sungso.com
189,경상북도안동의료원,종합병원,054-850-6000,36694,"경상북도 안동시 태사2길 55,  (북문동)",http://amc.or.kr
190,대자인병원,종합병원,063-240-2000,54910,"전북특별자치도 전주시 덕진구 견훤로 390, (우아동3가)",
191,전주고려병원,종합병원,063-240-7300,54915,"전북특별자치도 전주시 덕진구 안덕원로 367, (산정동)",http://www.jkhospital.co.kr/
192,강원특별자치도삼척의료원,종합병원,033-572-1141,25920,"강원특별자치도 삼척시 오십천로 418-0, 삼척의료원",http://www.ksmc.or.kr
193,의료법인영경의료재단전주병원,종합병원,063-220-7200,54985,"전북특별자치도 전주시 완산구 한두평3길 13, (중화산동2가, 전주병원)",www.jjhospital.co.kr/
194,재단법인예수병원유지재단예수병원,종합병원,063-230-8114,54987,"전북특별자치도 전주시 완산구 서원로 365, (중화산동1가, 예수병원)",http://www.jesushospital.com
195,차의과학대학교부속구미차병원,종합병원,054-450-9700,39295,"경상북도 구미시 신시로10길 12,  (형곡동)",http://kumi.chamc.co.kr
196,순천향대학교 부속 구미병원,종합병원,054-468-9114,39371,"경상북도 구미시 1공단로 179,  (공단동)",http://www.schmc.ac.kr/gumi/kor/index.do
197,부안성모병원,종합병원,063-581-5100,56313,"전북특별자치도 부안군 부안읍 오정2길 24, (부안읍)",
198,구미강동병원,종합병원,054-453-7575,39399,"경상북도 구미시 인동20길 46,  (진평동)",http://www.gumigd.co.kr
